id,date,category,price,category_name,total_price_per_category_per_day_last_30_days
4413,2021-11-27,4,85.0,food,85.0
37184,2021-11-27,2,90.0,food,175.0
53029,2021-11-27,2,16.0,food,191.0
78426,2021-11-27,4,71.0,food,262.0
86242,2021-11-27,4,63.0,food,325.0
90168,2021-11-27,3,1.0,food,326.0
102435,2021-11-27,4,1.0,food,327.0
104921,2021-11-27,4,56.0,food,383.0
108055,2021-11-27,0,92.0,food,475.0
118193,2021-11-27,5,42.0,food,517.0
128463,2021-11-27,0,15.0,food,532.0
130232,2021-11-27,4,99.0,food,631.0
151983,2021-11-27,5,3.0,food,634.0
156162,2021-11-27,4,11.0,food,645.0
178072,2021-11-27,5,47.0,food,692.0
206798,2021-11-27,0,10.0,food,702.0
225240,2021-11-27,1,53.0,food,755.0
233565,2021-11-27,1,47.0,food,802.0
235164,2021-11-27,1,95.0,food,897.0
246809,2021-11-27,5,21.0,food,918.0
248186,2021-11-27,1,11.0,food,929.0
249541,2021-11-27,4,7.0,food,936.0
257109,2021-11-27,1,16.0,food,952.0
271589,2021-11-27,2,64.0,food,1016.0
280195,2021-11-27,2,6.0,food,1022.0
301726,2021-11-27,3,36.0,food,1058.0
314840,2021-11-27,3,14.0,food,1072.0
318335,2021-11-27,4,78.0,food,1150.0
329120,2021-11-27,1,54.0,food,1204.0
373716,2021-11-27,4,94.0,food,1298.0
393661,2021-11-27,1,81.0,food,1379.0
402441,2021-11-27,5,31.0,food,1410.0
409031,2021-11-27,1,18.0,food,1428.0
415912,2021-11-27,1,64.0,food,1492.0
430959,2021-11-27,0,40.0,food,1532.0
441488,2021-11-27,0,96.0,food,1628.0
448246,2021-11-27,5,75.0,food,1703.0
459783,2021-11-27,3,63.0,food,1766.0
461980,2021-11-27,0,31.0,food,1797.0
503054,2021-11-27,2,35.0,food,1832.0
504153,2021-11-27,3,35.0,food,1867.0
512466,2021-11-27,2,16.0,food,1883.0
513351,2021-11-27,4,50.0,food,1933.0
521124,2021-11-27,1,95.0,food,2028.0
521750,2021-11-27,5,24.0,food,2052.0
548945,2021-11-27,3,81.0,food,2133.0
550358,2021-11-27,0,16.0,food,2149.0
556777,2021-11-27,5,26.0,food,2175.0
559668,2021-11-27,3,64.0,food,2239.0
560055,2021-11-27,4,86.0,food,2325.0
562784,2021-11-27,2,65.0,food,2390.0
568195,2021-11-27,2,42.0,food,2432.0
575823,2021-11-27,4,83.0,food,2515.0
596257,2021-11-27,5,86.0,food,2601.0
620581,2021-11-27,3,9.0,food,2610.0
632143,2021-11-27,4,96.0,food,2706.0
632324,2021-11-27,4,6.0,food,2712.0
648178,2021-11-27,1,7.0,food,2719.0
650531,2021-11-27,0,47.0,food,2766.0
652082,2021-11-27,1,51.0,food,2817.0
654951,2021-11-27,4,95.0,food,2912.0
676489,2021-11-27,2,56.0,food,2968.0
712534,2021-11-27,4,15.0,food,2983.0
741287,2021-11-27,2,53.0,food,3036.0
749127,2021-11-27,1,29.0,food,3065.0
774644,2021-11-27,5,26.0,food,3091.0
802339,2021-11-27,4,7.0,food,3098.0
809616,2021-11-27,4,21.0,food,3119.0
820674,2021-11-27,4,86.0,food,3205.0
822237,2021-11-27,5,16.0,food,3221.0
837371,2021-11-27,1,0.0,food,3221.0
857280,2021-11-27,0,20.0,food,3241.0
863258,2021-11-27,5,28.0,food,3269.0
895697,2021-11-27,3,78.0,food,3347.0
898434,2021-11-27,1,56.0,food,3403.0
900535,2021-11-27,4,23.0,food,3426.0
908874,2021-11-27,5,36.0,food,3462.0
919708,2021-11-27,5,5.0,food,3467.0
933910,2021-11-27,4,90.0,food,3557.0
936516,2021-11-27,3,79.0,food,3636.0
967151,2021-11-27,3,65.0,food,3701.0
980802,2021-11-27,5,33.0,food,3734.0
982173,2021-11-27,2,77.0,food,3811.0
985501,2021-11-27,5,61.0,food,3872.0
986486,2021-11-27,0,5.0,food,3877.0
988143,2021-11-27,2,66.0,food,3943.0
1004196,2021-11-27,1,70.0,food,4013.0
1014086,2021-11-27,2,18.0,food,4031.0
1018519,2021-11-27,2,55.0,food,4086.0
1031728,2021-11-27,2,59.0,food,4145.0
1033611,2021-11-27,3,29.0,food,4174.0
1044127,2021-11-27,2,71.0,food,4245.0
1050791,2021-11-27,1,5.0,food,4250.0
1057829,2021-11-27,3,54.0,food,4304.0
1069890,2021-11-27,2,31.0,food,4335.0
1087402,2021-11-27,4,45.0,food,4380.0
1090311,2021-11-27,2,28.0,food,4408.0
1094943,2021-11-27,0,50.0,food,4458.0
1096316,2021-11-27,4,97.0,food,4555.0
1110189,2021-11-27,4,0.0,food,4555.0
1110480,2021-11-27,2,75.0,food,4630.0
1110967,2021-11-27,2,11.0,food,4641.0
1111712,2021-11-27,1,16.0,food,4657.0
1129518,2021-11-27,3,28.0,food,4685.0
1149045,2021-11-27,4,80.0,food,4765.0
1152432,2021-11-27,4,0.0,food,4765.0
1161313,2021-11-27,1,52.0,food,4817.0
1170622,2021-11-27,2,84.0,food,4901.0
1196763,2021-11-27,0,92.0,food,4993.0
1200783,2021-11-27,4,97.0,food,5090.0
1204730,2021-11-27,4,61.0,food,5151.0
1210763,2021-11-27,0,78.0,food,5229.0
1244578,2021-11-27,4,87.0,food,5316.0
1272441,2021-11-27,1,63.0,food,5379.0
